year,countries,avg_gdp_growth_pct,avg_gdp_per_capita_pps,avg_inflation_pct
2020,27,-4.066666666666666,31326.511111111115,0.6962962962962963
2021,27,7.42962962962963,34616.525925925926,2.8333333333333335
2022,27,3.6185185185185187,37611.21481481482,10.72962962962963
2023,27,1.0703703703703704,39738.62962962963,6.944444444444445
2024,27,1.9185185185185185,41549.87777777778,2.6333333333333333
2025,27,2.048148148148148,43249.26666666666,2.951851851851852
